"","X","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"7702",7702,"RT @RutujaShastri: Shop for best product!!! Yes, shop at https://t.co/zPHPVtlExb.
#MumbaiRains
Murali Vijay
Sri Aurobindo
Audio From Tomorr<U+00E2><U+20AC><U+00A6>",FALSE,0,NA,"2017-12-05 05:18:59",FALSE,NA,937914172578209792,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RaoVishal211",71,TRUE,FALSE,NA,NA
"7703",7703,"RT @RutujaShastri: Shop for best product!!! Yes, shop at https://t.co/zPHPVtlExb.
#MumbaiRains
Murali Vijay
Sri Aurobindo
Audio From Tomorr<U+00E2><U+20AC><U+00A6>",FALSE,0,NA,"2017-12-05 05:18:58",FALSE,NA,937914172561485824,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RakeshThakur200",71,TRUE,FALSE,NA,NA
"7704",7704,"RT @RutujaShastri: Shop for best product!!! Yes, shop at https://t.co/zPHPVtlExb.
#MumbaiRains
Murali Vijay
Sri Aurobindo
Audio From Tomorr<U+00E2><U+20AC><U+00A6>",FALSE,0,NA,"2017-12-05 05:18:58",FALSE,NA,937914172527931392,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RaoParam62",71,TRUE,FALSE,NA,NA
"7705",7705,"RT @RutujaShastri: Shop for best product!!! Yes, shop at https://t.co/zPHPVtlExb.
#MumbaiRains
Murali Vijay
Sri Aurobindo
Audio From Tomorr<U+00E2><U+20AC><U+00A6>",FALSE,0,NA,"2017-12-05 05:18:58",FALSE,NA,937914172519497728,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Reemavishal",71,TRUE,FALSE,NA,NA
"7706",7706,"RT @RutujaShastri: Shop for best product!!! Yes, shop at https://t.co/zPHPVtlExb.
#MumbaiRains
Murali Vijay
Sri Aurobindo
Audio From Tomorr<U+00E2><U+20AC><U+00A6>",FALSE,0,NA,"2017-12-05 05:18:58",FALSE,NA,937914172502712320,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Reeha1Thakur",71,TRUE,FALSE,NA,NA
"7707",7707,"RT @RutujaShastri: Shop for best product!!! Yes, shop at https://t.co/zPHPVtlExb.
#MumbaiRains
Murali Vijay
Sri Aurobindo
Audio From Tomorr<U+00E2><U+20AC><U+00A6>",FALSE,0,NA,"2017-12-05 05:18:58",FALSE,NA,937914172477661184,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RaoMinakshi",71,TRUE,FALSE,NA,NA
"7708",7708,"RT @RutujaShastri: Shop for best product!!! Yes, shop at https://t.co/zPHPVtlExb.
#MumbaiRains
Murali Vijay
Sri Aurobindo
Audio From Tomorr<U+00E2><U+20AC><U+00A6>",FALSE,0,NA,"2017-12-05 05:18:58",FALSE,NA,937914172443987968,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","r_shig",71,TRUE,FALSE,NA,NA
"7709",7709,"RT @RutujaShastri: Shop for best product!!! Yes, shop at https://t.co/zPHPVtlExb.
#MumbaiRains
Murali Vijay
Sri Aurobindo
Audio From Tomorr<U+00E2><U+20AC><U+00A6>",FALSE,0,NA,"2017-12-05 05:18:58",FALSE,NA,937914172381085696,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","PritamVishal74",71,TRUE,FALSE,NA,NA
"7710",7710,"RT @RutujaShastri: Shop for best product!!! Yes, shop at https://t.co/zPHPVtlExb.
#MumbaiRains
Murali Vijay
Sri Aurobindo
Audio From Tomorr<U+00E2><U+20AC><U+00A6>",FALSE,0,NA,"2017-12-05 05:18:58",FALSE,NA,937914172322455552,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Priyapatelllll",71,TRUE,FALSE,NA,NA
"7711",7711,"RT @RutujaShastri: Shop for best product!!! Yes, shop at https://t.co/zPHPVtlExb.
#MumbaiRains
Murali Vijay
Sri Aurobindo
Audio From Tomorr<U+00E2><U+20AC><U+00A6>",FALSE,0,NA,"2017-12-05 05:18:58",FALSE,NA,937914172318220288,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","priyadev0",71,TRUE,FALSE,NA,NA
